QKP_30_100_25_2 & 30 & 25 & 9.67 & 3297 & 1649 & 4 & 83 & 7.12 & 3341 & 1671 & 0 & 83 & 0.8 & 7.99 & 3341 & 1671 & 0 & 83 & 0.0 & 17.22 & 3341 & 1671 & 0 & 83 & 8.59 & 3339 & 1670 & 1 & 83 & 0.68 & 9.16 & 3339 & 1670 & 1 & 83 & 0.0 & 11.54 & 3339 & 1670 & 1 & 83 & \\
QKP_30_100_25_3 & 30 & 25 & TO & 121267 & 60608 & 799 & 568 & TO & 132151 & 66051 & 56 & 577 & 0.67 & TO & 134865 & 67424 & 56 & 579 & 0.0 & TO & 98907 & 49429 & 4 & 530 & TO & 132317 & 66139 & 59 & 577 & 0.71 & TO & 133945 & 66951 & 59 & 573 & 0.0 & TO & 123715 & 61832 & 5 & 568 & \\
QKP_30_100_50_1 & 30 & 50 & TO & 109827 & 54891 & 4060 & 613 & TO & 127111 & 63534 & 223 & 619 & 0.76 & TO & 130827 & 65392 & 235 & 609 & 0.0 & TO & 119269 & 59613 & 155 & 612 & TO & 126399 & 63177 & 222 & 619 & 0.72 & TO & 126459 & 63206 & 222 & 614 & 0.0 & TO & 119833 & 59895 & 157 & 612 & \\
QKP_30_100_50_2 & 30 & 50 & 320.71 & 40405 & 20203 & 68 & 413 & 282.76 & 40489 & 20245 & 51 & 413 & 0.66 & 269.08 & 40487 & 20244 & 52 & 413 & 0.0 & 283.83 & 40503 & 20252 & 51 & 413 & 290.99 & 40493 & 20247 & 51 & 413 & 0.72 & 288.38 & 40493 & 20247 & 51 & 413 & 0.0 & 325.56 & 40495 & 20248 & 51 & 413 & \\
QKP_30_100_50_3 & 30 & 50 & 3.5 & 869 & 435 & 0 & 60 & 3.63 & 869 & 435 & 0 & 60 & 0.72 & 4.45 & 869 & 435 & 0 & 60 & 0.0 & 5.01 & 869 & 435 & 0 & 60 & 4.95 & 869 & 435 & 0 & 60 & 0.72 & 5.55 & 869 & 435 & 0 & 60 & 0.0 & 7.39 & 869 & 435 & 0 & 60 & \\
QKP_30_100_75_1 & 30 & 75 & 14.55 & 3853 & 1927 & 2 & 222 & 14.43 & 3877 & 1939 & 0 & 222 & 0.66 & 12.66 & 3877 & 1939 & 0 & 222 & 0.0 & 13.46 & 3877 & 1939 & 0 & 222 & 14.28 & 3875 & 1938 & 1 & 222 & 0.71 & 16.08 & 3875 & 1938 & 1 & 222 & 0.0 & 18.55 & 3875 & 1938 & 1 & 222 & \\
QKP_30_100_75_2 & 30 & 75 & 3.42 & 823 & 412 & 0 & 77 & 4.19 & 823 & 412 & 0 & 77 & 0.64 & 4.28 & 823 & 412 & 0 & 77 & 0.0 & 4.88 & 823 & 412 & 0 & 77 & 4.88 & 823 & 412 & 0 & 77 & 0.83 & 6.01 & 823 & 412 & 0 & 77 & 0.0 & 7.82 & 823 & 412 & 0 & 77 & \\
QKP_30_100_75_3 & 30 & 75 & 465.58 & 45865 & 22933 & 257 & 497 & 424.46 & 46333 & 23167 & 374 & 497 & 0.64 & 409.54 & 46333 & 23167 & 374 & 497 & 0.0 & 419.74 & 46685 & 23343 & 258 & 497 & 427.14 & 45939 & 22970 & 375 & 497 & 0.74 & 426.87 & 45939 & 22970 & 375 & 497 & 0.0 & 462.69 & 46449 & 23225 & 258 & 497 & \\
QKP_35_100_100_1 & 35 & 100 & 6.21 & 991 & 496 & 0 & 84 & 6.01 & 991 & 496 & 0 & 84 & 1.15 & 8.66 & 991 & 496 & 0 & 84 & 0.0 & 8.53 & 991 & 496 & 0 & 84 & 9.66 & 991 & 496 & 0 & 84 & 0.96 & 10.46 & 991 & 496 & 0 & 84 & 0.0 & 14.4 & 991 & 496 & 0 & 84 & \\
QKP_35_100_100_2 & 35 & 100 & 40.44 & 9697 & 4849 & 1 & 229 & 34.11 & 9701 & 4851 & 0 & 229 & 0.98 & 38.83 & 9701 & 4851 & 0 & 229 & 0.0 & 36.01 & 9701 & 4851 & 0 & 229 & 39.62 & 9701 & 4851 & 0 & 229 & 0.91 & 39.46 & 9701 & 4851 & 0 & 229 & 0.0 & 45.98 & 9701 & 4851 & 0 & 229 & \\
QKP_35_100_100_3 & 35 & 100 & 5.96 & 1009 & 505 & 0 & 100 & 6.46 & 1009 & 505 & 0 & 100 & 0.93 & 9.09 & 1009 & 505 & 0 & 100 & 0.0 & 9.1 & 1009 & 505 & 0 & 100 & 9.31 & 1009 & 505 & 0 & 100 & 0.93 & 12.0 & 1009 & 505 & 0 & 100 & 0.0 & 15.46 & 1009 & 505 & 0 & 100 & \\
QKP_35_100_25_1 & 35 & 25 & 799.08 & 81223 & 40612 & 71 & 398 & 697.22 & 81383 & 40692 & 25 & 398 & 0.93 & 705.71 & 81383 & 40692 & 25 & 398 & 0.0 & 700.64 & 81383 & 40692 & 25 & 398 & 713.8 & 81333 & 40667 & 33 & 398 & 0.98 & 708.51 & 81333 & 40667 & 33 & 398 & 0.0 & 781.41 & 81333 & 40667 & 33 & 398 & \\
QKP_35_100_25_2 & 35 & 25 & 7.45 & 1107 & 554 & 0 & 48 & 5.8 & 1107 & 554 & 0 & 48 & 1.11 & 8.13 & 1107 & 554 & 0 & 48 & 0.0 & 8.59 & 1107 & 554 & 0 & 48 & 8.9 & 1107 & 554 & 0 & 48 & 0.89 & 9.38 & 1107 & 554 & 0 & 48 & 0.0 & 14.56 & 1107 & 554 & 0 & 48 & \\
QKP_35_100_25_3 & 35 & 25 & 5.64 & 1175 & 588 & 0 & 68 & 6.1 & 1175 & 588 & 0 & 68 & 0.93 & 7.5 & 1175 & 588 & 0 & 68 & 0.0 & 8.1 & 1175 & 588 & 0 & 68 & 9.22 & 1175 & 588 & 0 & 68 & 0.96 & 10.15 & 1175 & 588 & 0 & 68 & 0.0 & 14.41 & 1175 & 588 & 0 & 68 & \\
QKP_35_100_50_1 & 35 & 50 & 947.88 & 99579 & 49790 & 276 & 462 & 826.16 & 100203 & 50102 & 185 & 462 & 1.02 & 862.86 & 100195 & 50098 & 186 & 462 & 0.0 & 744.84 & 100203 & 50102 & 185 & 462 & 863.91 & 100173 & 50087 & 185 & 462 & 0.92 & 864.77 & 100165 & 50083 & 186 & 462 & 0.0 & 850.33 & 100173 & 50087 & 185 & 462 & \\
QKP_35_100_50_2 & 35 & 50 & 55.3 & 10697 & 5349 & 0 & 292 & 46.72 & 10697 & 5349 & 0 & 292 & 0.9 & 48.83 & 10697 & 5349 & 0 & 292 & 0.0 & 45.66 & 10697 & 5349 & 0 & 292 & 49.51 & 10697 & 5349 & 0 & 292 & 0.84 & 55.59 & 10697 & 5349 & 0 & 292 & 0.0 & 52.57 & 10697 & 5349 & 0 & 292 & \\
QKP_35_100_50_3 & 35 & 50 & TO & 60659 & 30301 & 247 & 889 & TO & 63723 & 31836 & 174 & 916 & 0.82 & TO & 64001 & 31973 & 173 & 912 & 0.0 & TO & 64691 & 32317 & 175 & 923 & TO & 63751 & 31848 & 174 & 916 & 0.98 & TO & 63315 & 31633 & 171 & 908 & 0.0 & TO & 60711 & 30329 & 162 & 888 & \\
QKP_35_100_75_1 & 35 & 75 & TO & 111313 & 55628 & 428 & 599 & TO & 126225 & 63083 & 276 & 623 & 0.9 & TO & 124671 & 62307 & 276 & 624 & 0.0 & TO & 131031 & 65488 & 283 & 631 & TO & 124237 & 62098 & 272 & 621 & 0.86 & TO & 124027 & 61990 & 273 & 622 & 0.0 & TO & 120735 & 60337 & 268 & 616 & \\
QKP_35_100_75_2 & 35 & 75 & 1512.78 & 69713 & 34857 & 39 & 555 & 891.07 & 69927 & 34964 & 17 & 555 & 0.84 & 880.85 & 69927 & 34964 & 17 & 555 & 0.0 & 854.96 & 69927 & 34964 & 17 & 555 & 910.57 & 69875 & 34938 & 22 & 555 & 1.0 & 905.17 & 69875 & 34938 & 22 & 555 & 0.0 & 919.18 & 69875 & 34938 & 22 & 555 & \\
QKP_35_100_75_3 & 35 & 75 & TO & 74221 & 37090 & 8 & 622 & TO & 99083 & 49521 & 5 & 676 & 0.9 & TO & 98865 & 49401 & 5 & 674 & 0.0 & TO & 97767 & 48855 & 5 & 677 & TO & 97537 & 48747 & 5 & 675 & 1.03 & TO & 97525 & 48747 & 5 & 675 & 0.0 & TO & 93767 & 46863 & 5 & 669 & \\
QKP_40_100_100_1 & 40 & 100 & TO & 79537 & 39737 & 473 & 532 & TO & 132485 & 66213 & 336 & 547 & 1.25 & TO & 134579 & 67269 & 348 & 540 & 0.0 & TO & 136457 & 68202 & 348 & 555 & TO & 127127 & 63534 & 436 & 547 & 1.1 & TO & 127377 & 63670 & 439 & 548 & 0.0 & TO & 121173 & 60564 & 414 & 543 & \\
QKP_40_100_100_2 & 40 & 100 & TO & 53363 & 26653 & 384 & 677 & TO & 78377 & 39159 & 409 & 708 & 3.17 & TO & 81335 & 40639 & 442 & 690 & 0.0 & TO & 77321 & 38630 & 401 & 702 & TO & 77789 & 38866 & 405 & 707 & 0.98 & TO & 82473 & 41210 & 446 & 692 & 0.0 & TO & 73029 & 36486 & 359 & 738 & \\
QKP_40_100_100_3 & 40 & 100 & 517.62 & 41455 & 20728 & 5 & 413 & 320.45 & 41467 & 20734 & 3 & 413 & 1.26 & 313.63 & 41467 & 20734 & 3 & 413 & 0.0 & 320.05 & 41467 & 20734 & 3 & 413 & 336.99 & 41461 & 20731 & 6 & 413 & 1.18 & 335.42 & 41461 & 20731 & 6 & 413 & 0.0 & 377.71 & 41461 & 20731 & 6 & 413 & \\
QKP_40_100_25_1 & 40 & 25 & TO & 117427 & 58687 & 83 & 528 & TO & 138243 & 69094 & 12 & 549 & 1.27 & TO & 145445 & 72688 & 12 & 562 & 0.0 & TO & 143431 & 71686 & 12 & 554 & TO & 144985 & 72470 & 12 & 560 & 1.17 & TO & 141703 & 70825 & 12 & 551 & 0.0 & TO & 128945 & 64444 & 12 & 541 & \\
QKP_40_100_25_2 & 40 & 25 & 11.54 & 1399 & 700 & 0 & 38 & 13.6 & 1399 & 700 & 0 & 38 & 0.97 & 10.91 & 1399 & 700 & 0 & 38 & 0.0 & 20.11 & 1399 & 700 & 0 & 38 & 15.3 & 1399 & 700 & 0 & 38 & 1.32 & 17.51 & 1399 & 700 & 0 & 38 & 0.0 & 27.6 & 1399 & 700 & 0 & 38 & \\
