QKP_30_100_100_2 & 30 & 100 & 1.51 & 24 & 2.43 & 799 & 400 & 1 & 24 & 3.06 & 803 & 402 & 0 & 24 & 0.45 & 3.27 & 803 & 402 & 0 & 24 & 0.0 & 4.26 & 803 & 402 & 0 & 24 & 2.94 & 799 & 400 & 1 & 24 & 0.43 & 4.17 & 797 & 399 & 2 & 24 & 0.0 & 3.93 & 799 & 400 & 1 & 24 & \\
QKP_30_100_100_3 & 30 & 100 & 12.65 & 32 & 9.4 & 5573 & 2787 & 10 & 32 & 8.65 & 5635 & 2818 & 9 & 32 & 0.47 & 8.83 & 5629 & 2815 & 10 & 32 & 0.0 & 10.46 & 5635 & 2818 & 9 & 32 & 9.14 & 5611 & 2806 & 11 & 32 & 0.46 & 9.81 & 5603 & 2802 & 13 & 32 & 0.0 & 9.76 & 5611 & 2806 & 11 & 32 & \\
QKP_30_100_25_1 & 30 & 25 & 0.69 & 16 & 2.37 & 715 & 358 & 0 & 16 & 2.53 & 715 & 358 & 0 & 16 & 0.46 & 2.81 & 715 & 358 & 0 & 16 & 0.0 & 4.19 & 715 & 358 & 0 & 16 & 3.02 & 715 & 358 & 0 & 16 & 0.34 & 3.88 & 715 & 358 & 0 & 16 & 0.0 & 3.47 & 715 & 358 & 0 & 16 & \\
QKP_30_100_25_2 & 30 & 25 & 4.89 & 24 & 7.21 & 3295 & 1648 & 6 & 24 & 5.36 & 3341 & 1671 & 0 & 24 & 0.47 & 5.71 & 3341 & 1671 & 0 & 24 & 0.0 & 7.94 & 3341 & 1671 & 0 & 24 & 5.93 & 3337 & 1669 & 2 & 24 & 0.39 & 6.67 & 3339 & 1670 & 1 & 24 & 0.0 & 7.4 & 3337 & 1669 & 2 & 24 & \\
QKP_30_100_25_3 & 30 & 25 & 34.33 & 72 & 297.25 & 194371 & 97186 & 7614 & 72 & 230.44 & 213171 & 106586 & 373 & 72 & 0.51 & 231.36 & 213171 & 106586 & 373 & 72 & 0.0 & 261.0 & 213171 & 106586 & 373 & 72 & 238.85 & 212799 & 106400 & 383 & 72 & 0.42 & 229.95 & 212799 & 106400 & 383 & 72 & 0.0 & 238.66 & 212799 & 106400 & 383 & 72 & \\
QKP_30_100_50_1 & 30 & 50 & 111.4 & 102 & TO & 1058385 & 529172 & 166847 & 101 & TO & 1594559 & 797272 & 51069 & 101 & 0.29 & TO & 1598043 & 799000 & 51145 & 101 & 0.0 & TO & 1329361 & 664658 & 22782 & 99 & TO & 1578173 & 789064 & 51054 & 101 & 0.41 & TO & 1557005 & 778481 & 50305 & 101 & 0.0 & TO & 1559631 & 779792 & 29271 & 102 & \\
QKP_30_100_50_2 & 30 & 50 & 29.82 & 53 & 57.25 & 38929 & 19465 & 555 & 53 & 43.41 & 39197 & 19599 & 615 & 53 & 0.43 & 43.14 & 39159 & 19580 & 631 & 53 & 0.0 & 53.97 & 39197 & 19599 & 615 & 53 & 50.51 & 38611 & 19306 & 648 & 53 & 0.49 & 48.84 & 38487 & 19244 & 684 & 53 & 0.0 & 47.3 & 38611 & 19306 & 648 & 53 & \\
QKP_30_100_50_3 & 30 & 50 & 2.44 & 19 & 2.42 & 869 & 435 & 0 & 19 & 2.55 & 869 & 435 & 0 & 19 & 0.53 & 3.24 & 869 & 435 & 0 & 19 & 0.0 & 4.53 & 869 & 435 & 0 & 19 & 3.56 & 869 & 435 & 0 & 19 & 0.48 & 4.67 & 869 & 435 & 0 & 19 & 0.0 & 3.37 & 869 & 435 & 0 & 19 & \\
QKP_30_100_75_1 & 30 & 75 & 10.02 & 29 & 7.39 & 3771 & 1886 & 10 & 29 & 6.11 & 3869 & 1935 & 3 & 29 & 0.43 & 7.12 & 3869 & 1935 & 3 & 29 & 0.0 & 8.39 & 3869 & 1935 & 3 & 29 & 7.62 & 3801 & 1901 & 23 & 29 & 0.49 & 9.14 & 3797 & 1899 & 24 & 29 & 0.0 & 11.03 & 3801 & 1901 & 23 & 29 & \\
QKP_30_100_75_2 & 30 & 75 & 4.56 & 20 & 2.59 & 823 & 412 & 0 & 20 & 2.57 & 823 & 412 & 0 & 20 & 0.42 & 3.26 & 823 & 412 & 0 & 20 & 0.0 & 5.45 & 823 & 412 & 0 & 20 & 3.43 & 823 & 412 & 0 & 20 & 0.54 & 4.71 & 823 & 412 & 0 & 20 & 0.0 & 3.8 & 823 & 412 & 0 & 20 & \\
